file,In Merritt
0102.01.0029,Yes
0102.01.0030,Yes
0102.01.0031,Yes
0102.01.0032,Yes
0102.01.0033,Yes
0102.01.0034,Yes
0102.01.0035,Yes
0102.01.0036,Yes
0102.01.0037,Yes
0102.01.0038,Yes
0102.01.0039,Yes
0102.01.0040,Yes
0102.01.0041,Yes
0102.01.0042,Yes
0102.01.0043,Yes
0102.01.0045,Yes
0102.01.0046,Yes
0102.01.0047,Yes
0102.01.0048,Yes
0102.01.0049,Yes
0102.01.0050,Yes
0102.01.0051,Yes
0102.01.0052,Yes
0102.01.0053,Yes
0102.01.0054,Yes
0102.01.0055,Yes
0102.01.0056,Yes
